CT1_00001	chr1:4780468-4782301	-
CT1_00002	chr1:4783951-4784105	-
CT1_00003	chr1:4808455-4808486	+
CT1_00004	chr1:4830268-4830315	+
CT1_00005	chr1:4837602-4837654	+
CT1_00006	chr1:4839387-4839488	+
CT1_00007	chr1:4963270-4963362	-
CT1_00008	chr1:5083552-5083625	+
CT1_00009	chr1:5088560-5088632	+
CT1_00010	chr1:5088560-5088627	+
CT1_00011	chr1:5093363-5093493	+
CT1_00012	chr1:5093363-5093452	+
CT1_00013	chr1:5101070-5101123	+
CT1_00014	chr1:5589005-5589305	+
CT1_00015	chr1:5589035-5589305	+
CT1_00016	chr1:6223599-6223702	+
CT1_00017	chr1:6223599-6223745	+
CT1_00018	chr1:6265722-6265775	+
CT1_00019	chr1:7090859-7090991	+
CT1_00020	chr1:7120194-7120615	+
CT1_00021	chr1:7155080-7155271	+
CT1_00022	chr1:7166309-7166518	+
CT1_00023	chr1:7166313-7166518	+
CT1_00024	chr1:8554725-8554763	-
CT1_00025	chr1:8595412-8595542	-
CT1_00026	chr1:8622138-8622235	-
CT1_00027	chr1:8677937-8677977	-
CT1_00028	chr1:8677937-8677980	-
CT1_00029	chr1:8782763-8782897	-
CT1_00030	chr1:8782783-8782897	-
CT1_00031	chr1:8882161-8882214	-
CT1_00032	chr1:8996547-8996618	-
CT1_00033	chr1:9249319-9249410	-
CT1_00034	chr1:9548440-9548616	+
CT1_00035	chr1:9551717-9551757	+
CT1_00036	chr1:9553623-9553819	+
CT1_00037	chr1:9558390-9558486	+
CT1_00038	chr1:9623089-9623128	-
CT1_00039	chr1:9671579-9671758	-
CT1_00040	chr1:9681785-9681889	-
CT1_00041	chr1:9736966-9737052	-
CT1_00042	chr1:9881760-9881891	+
CT1_00043	chr1:9885989-9886142	+
CT1_00044	chr1:9886047-9886142	+
CT1_00045	chr1:9888870-9889025	+
CT1_00046	chr1:9912114-9912173	+
CT1_00047	chr1:9942610-9942717	-
CT1_00048	chr1:10003235-10003453	-
CT1_00049	chr1:10027103-10027251	-
CT1_00050	chr1:10032339-10032424	-
CT1_00051	chr1:10059824-10059847	+
CT1_00052	chr1:10065323-10065421	+
CT1_00053	chr1:10065323-10065371	+
CT1_00054	chr1:10085747-10085952	+
CT1_00055	chr1:10104212-10104364	+
CT1_00056	chr1:10116018-10116089	+
CT1_00057	chr1:10116018-10116088	+
CT1_00058	chr1:10116018-10116084	+
CT1_00059	chr1:10116614-10116731	+
CT1_00060	chr1:10116616-10116731	+
CT1_00061	chr1:10116618-10116731	+
CT1_00062	chr1:10133164-10133273	+
CT1_00063	chr1:10140467-10140584	-
CT1_00064	chr1:10156914-10157044	-
CT1_00065	chr1:10156925-10157044	-
CT1_00066	chr1:10179826-10179977	-
CT1_00067	chr1:10408500-10408854	-
CT1_00068	chr1:11511918-11512065	+
CT1_00069	chr1:11545154-11545282	+
CT1_00070	chr1:11829815-11829891	+
CT1_00071	chr1:11933544-11933591	+
