MS1_00001	chr1:4197534-4197641	-
MS1_00002	chr1:4206660-4206837	-
MS1_00003	chr1:4261527-4261605	-
MS1_00004	chr1:4292926-4293012	-
MS1_00005	chr1:4345052-4350091	-
MS1_00006	chr1:4345286-4350091	-
MS1_00007	chr1:4351910-4352081	-
MS1_00008	chr1:4493100-4493490	-
MS1_00009	chr1:4493100-4493466	-
MS1_00010	chr1:4495136-4495198	-
MS1_00011	chr1:4495136-4495942	-
MS1_00012	chr1:4495749-4495942	-
MS1_00013	chr1:4583406-4583478	-
MS1_00014	chr1:4780468-4782301	-
MS1_00015	chr1:4780468-4780921	-
MS1_00016	chr1:4783951-4784105	-
MS1_00017	chr1:4808455-4808486	+
MS1_00018	chr1:4830268-4830315	+
MS1_00019	chr1:4837602-4837654	+
MS1_00020	chr1:4839387-4839488	+
MS1_00021	chr1:4963270-4963362	-
MS1_00022	chr1:5019311-5020502	-
MS1_00023	chr1:5083552-5083625	+
MS1_00024	chr1:5088560-5088632	+
MS1_00025	chr1:5088560-5088627	+
MS1_00026	chr1:5093363-5093452	+
MS1_00027	chr1:5093363-5093493	+
MS1_00028	chr1:5101070-5101123	+
MS1_00029	chr1:5149948-5150061	+
MS1_00030	chr1:5589005-5589305	+
MS1_00031	chr1:5589035-5589305	+
MS1_00032	chr1:6223599-6223745	+
MS1_00033	chr1:6223599-6223702	+
MS1_00034	chr1:6229959-6230073	+
MS1_00035	chr1:6244105-6244275	+
MS1_00036	chr1:6250931-6252185	+
MS1_00037	chr1:6264542-6264590	+
MS1_00038	chr1:6265722-6265775	+
MS1_00039	chr1:6361475-6361644	+
MS1_00040	chr1:6753556-6753602	+
MS1_00041	chr1:6770944-6770974	+
MS1_00042	chr1:6807543-6807677	+
MS1_00043	chr1:6827776-6828021	+
MS1_00044	chr1:6833563-6833678	+
MS1_00045	chr1:7090859-7090991	+
MS1_00046	chr1:7120194-7120615	+
MS1_00047	chr1:7152816-7152919	+
MS1_00048	chr1:7155080-7158978	+
MS1_00049	chr1:7155080-7155271	+
MS1_00050	chr1:7158772-7158978	+
MS1_00051	chr1:7166309-7166518	+
MS1_00052	chr1:7166313-7166518	+
MS1_00053	chr1:8554725-8554763	-
MS1_00054	chr1:8595412-8595542	-
MS1_00055	chr1:8622138-8622235	-
MS1_00056	chr1:8677937-8677980	-
MS1_00057	chr1:8677937-8677977	-
MS1_00058	chr1:8782763-8782897	-
MS1_00059	chr1:8782783-8782897	-
MS1_00060	chr1:8882161-8882214	-
MS1_00061	chr1:8996547-8996618	-
MS1_00062	chr1:9249319-9249410	-
MS1_00063	chr1:9548440-9548616	+
MS1_00064	chr1:9551717-9551757	+
MS1_00065	chr1:9553318-9553472	+
MS1_00066	chr1:9553623-9553819	+
MS1_00067	chr1:9558390-9558486	+
MS1_00068	chr1:9563509-9563587	+
MS1_00069	chr1:9619836-9619897	+
