EC1_23073	chr10:221195-221356	+
EC1_23074	chr10:237585-237677	+
EC1_23075	chr10:239438-239525	+
EC1_23076	chr10:240056-240111	+
EC1_23077	chr10:240059-240111	+
EC1_23078	chr10:240893-240970	+
EC1_23079	chr10:242021-242139	+
EC1_23080	chr10:247398-247466	+
EC1_23081	chr10:311537-311566	-
EC1_23082	chr10:364815-365021	-
EC1_23083	chr10:399109-399219	-
EC1_23084	chr10:484781-484948	-
EC1_23085	chr10:830867-830977	-
EC1_23086	chr10:870013-870083	-
EC1_23087	chr10:992489-992659	+
EC1_23088	chr10:1000677-1000868	+
EC1_23089	chr10:1000948-1001013	+
EC1_23090	chr10:1005818-1005907	+
EC1_23091	chr10:1015753-1015896	+
EC1_23092	chr10:1041409-1041504	-
EC1_23093	chr10:1043999-1044171	-
EC1_23094	chr10:1077907-1079677	+
EC1_23095	chr10:1077907-1078003	+
EC1_23096	chr10:1079556-1079677	+
EC1_23097	chr10:1079556-1080476	+
EC1_23098	chr10:1080011-1080476	+
EC1_23099	chr10:1103602-1103836	+
EC1_23100	chr10:1105126-1105267	+
EC1_23101	chr10:1123983-1124102	+
EC1_23102	chr10:3099557-3099819	+
EC1_23103	chr10:3105115-3105159	+
EC1_23104	chr10:3140687-3140765	-
EC1_23105	chr10:3140687-3140812	-
EC1_23106	chr10:3147987-3148063	-
EC1_23107	chr10:3148168-3148291	-
EC1_23108	chr10:3148171-3148291	-
EC1_23109	chr10:3156930-3157064	-
EC1_23110	chr10:3159848-3159936	-
EC1_23111	chr10:3780106-3780229	-
EC1_23112	chr10:3783216-3783281	-
EC1_23113	chr10:4657601-4657725	-
EC1_23114	chr10:4833350-4833466	+
EC1_23115	chr10:4839729-4841857	+
EC1_23116	chr10:4839729-4841840	+
EC1_23117	chr10:4965914-4966081	+
EC1_23118	chr10:4968309-4968386	+
EC1_23119	chr10:4972201-4972749	+
EC1_23120	chr10:4972584-4972749	+
EC1_23121	chr10:4999200-4999277	-
EC1_23122	chr10:5099325-5099449	+
EC1_23123	chr10:5099327-5102210	+
EC1_23124	chr10:5102101-5102210	+
EC1_23125	chr10:5105595-5105677	+
EC1_23126	chr10:5206340-5206397	+
EC1_23127	chr10:5642473-5642553	-
EC1_23128	chr10:5644348-5644468	-
EC1_23129	chr10:5651213-5651363	-
EC1_23130	chr10:5717659-5717750	+
EC1_23131	chr10:5717659-5720397	+
EC1_23132	chr10:5720260-5720397	+
EC1_23133	chr10:5724430-5724533	+
EC1_23134	chr10:5735304-5735546	+
EC1_23135	chr10:5742097-5742153	+
EC1_23136	chr10:5746179-5750027	+
EC1_23137	chr10:5749879-5750027	+
EC1_23138	chr10:5762532-5762646	+
EC1_23139	chr10:5766241-5766295	-
EC1_23140	chr10:5766494-5766638	-
EC1_23141	chr10:5767940-5768054	-
EC1_23142	chr10:5773842-5773941	-
EC1_23143	chr10:5794885-5795019	-
EC1_23144	chr10:5880298-5880376	-
EC1_23145	chr10:5882647-5882743	-
EC1_23146	chr10:5883958-5884077	-
EC1_23147	chr10:5883969-5884077	-
EC1_23148	chr10:5885723-5885765	-
EC1_23149	chr10:5891019-5895187	+
EC1_23150	chr10:5893977-5895187	+
EC1_23151	chr10:5893977-5903175	+
EC1_23152	chr10:5895056-5895187	+
EC1_23153	chr10:5903020-5903175	+
EC1_23154	chr10:5905218-5905287	+
EC1_23155	chr10:5913747-5913839	+
EC1_23156	chr10:5913784-5913839	+
EC1_23157	chr10:5916234-5916456	+
EC1_23158	chr10:5918342-5918478	+
EC1_23159	chr10:5921258-5921357	+
EC1_23160	chr10:5923621-5923696	+
EC1_23161	chr10:5924751-5924801	+
EC1_23162	chr10:5925888-5925915	+
EC1_23163	chr10:5928336-5928427	+
EC1_23164	chr10:5963743-5963841	-
EC1_23165	chr10:6089496-6089971	+
EC1_23166	chr10:6216125-6216191	+
EC1_23167	chr10:6221641-6221745	+
EC1_23168	chr10:6224506-6224623	+
EC1_23169	chr10:6226192-6226365	+
EC1_23170	chr10:6226192-6228218	+
EC1_23171	chr10:6228196-6228218	+
EC1_23172	chr10:6228196-6231314	+
EC1_23173	chr10:6430810-6430938	-
EC1_23174	chr10:6441893-6442081	-
EC1_23175	chr10:6462303-6462365	-
EC1_23176	chr10:6507436-6507496	-
EC1_23177	chr10:6582138-6582201	+
EC1_23178	chr10:7188624-7188733	-
EC1_23179	chr10:7197548-7197687	-
EC1_23180	chr10:7225264-7225375	-
EC1_23181	chr10:7609420-7609494	-
EC1_23182	chr10:7655631-7655675	-
EC1_23183	chr10:7713181-7713285	+
EC1_23184	chr10:7727703-7727828	+
EC1_23185	chr10:7731811-7731996	+
EC1_23186	chr10:7738621-7743259	+
EC1_23187	chr10:7761391-7761447	-
EC1_23188	chr10:7774583-7774660	-
EC1_23189	chr10:7780264-7780307	-
EC1_23190	chr10:7783081-7783175	-
EC1_23191	chr10:7796121-7796155	+
EC1_23192	chr10:7799772-7799915	+
EC1_23193	chr10:7806974-7807010	+
EC1_23194	chr10:8014239-8014534	+
EC1_23195	chr10:11217425-11217507	+
EC1_23196	chr10:11266598-11266677	+
EC1_23197	chr10:11328926-11329097	+
EC1_23198	chr10:11481770-11481922	-
EC1_23199	chr10:11489890-11489950	-
EC1_23200	chr10:11494368-11495230	-
EC1_23201	chr10:11495052-11495230	-
EC1_23202	chr10:11594631-11594721	-
EC1_23203	chr10:11750478-11750560	+
EC1_23204	chr10:11755408-11755608	+
EC1_23205	chr10:11849947-11850208	+
EC1_23206	chr10:11857265-11857385	-
EC1_23207	chr10:11862817-11862930	-
EC1_23208	chr10:11862912-11863042	+
EC1_23209	chr10:11941466-11941560	-
EC1_23210	chr10:11952066-11952249	-
EC1_23211	chr10:11979057-11979165	-
EC1_23212	chr10:12001676-12001825	-
EC1_23213	chr10:12014024-12014184	-
EC1_23214	chr10:12081472-12081627	+
EC1_23215	chr10:12084540-12084751	+
EC1_23216	chr10:12087535-12087729	+
EC1_23217	chr10:12088986-12089255	+
EC1_23218	chr10:12091513-12091684	+
EC1_23219	chr10:12100178-12100262	+
EC1_23220	chr10:12106246-12106396	+
EC1_23221	chr10:12107909-12108015	+
EC1_23222	chr10:12112900-12113064	+
EC1_23223	chr10:12118749-12118918	+
EC1_23224	chr10:12142433-12142565	+
EC1_23225	chr10:12155311-12155931	+
EC1_23226	chr10:12155778-12155931	+
EC1_23227	chr10:12164268-12167893	+
EC1_23228	chr10:12167753-12167893	+
EC1_23229	chr10:12170900-12170908	-
EC1_23230	chr10:12173718-12173813	-
EC1_23231	chr10:12180395-12180489	-
EC1_23232	chr10:12198705-12198776	+
EC1_23233	chr10:12209967-12210024	+
EC1_23234	chr10:12210290-12210322	+
EC1_23235	chr10:12215740-12215835	+
EC1_23236	chr10:12235295-12235330	+
EC1_23237	chr10:12237144-12237266	+
EC1_23238	chr10:12246149-12246277	+
EC1_23239	chr10:12249581-12249718	+
EC1_23240	chr10:13108138-13108289	+
EC1_23241	chr10:13110180-13110476	+
EC1_23242	chr10:13110274-13110476	+
EC1_23243	chr10:13118888-13119040	+
EC1_23244	chr10:13118906-13119040	+
EC1_23245	chr10:13125418-13125567	+
EC1_23246	chr10:13125946-13126039	+
EC1_23247	chr10:13133502-13133581	+
EC1_23248	chr10:13164128-13164209	+
EC1_23249	chr10:13186164-13186280	+
EC1_23250	chr10:13204219-13204364	+
EC1_23251	chr10:13209091-13209133	+
EC1_23252	chr10:13280976-13281110	-
EC1_23253	chr10:13321974-13322065	-
EC1_23254	chr10:13322835-13323041	-
EC1_23255	chr10:13322835-13323047	-
EC1_23256	chr10:13329698-13329788	-
EC1_23257	chr10:13340691-13340908	-
EC1_23258	chr10:13480899-13481120	-
EC1_23259	chr10:13480899-13481124	-
EC1_23260	chr10:13496766-13496888	-
EC1_23261	chr10:13499739-13500077	-
EC1_23262	chr10:13499739-13500080	-
EC1_23263	chr10:13499778-13500080	-
EC1_23264	chr10:13499778-13500077	-
EC1_23265	chr10:13500589-13500679	-
EC1_23266	chr10:13526138-13526221	-
EC1_23267	chr10:13591768-13591888	+
EC1_23268	chr10:13613741-13613881	+
EC1_23269	chr10:13630260-13638923	+
EC1_23270	chr10:13630260-13642155	+
EC1_23271	chr10:13648620-13652882	+
EC1_23272	chr10:13648620-13652489	+
EC1_23273	chr10:13648620-13648698	+
EC1_23274	chr10:13648620-13648768	+
EC1_23275	chr10:13648626-13652489	+
EC1_23276	chr10:13648626-13648698	+
EC1_23277	chr10:13648626-13652882	+
EC1_23278	chr10:13648626-13648768	+
EC1_23279	chr10:13651903-13651974	-
EC1_23280	chr10:13655509-13655653	-
EC1_23281	chr10:13663453-13663509	-
EC1_23282	chr10:13670406-13670528	-
EC1_23283	chr10:13684321-13693517	-
EC1_23284	chr10:13693482-13693517	-
EC1_23285	chr10:14841166-14843733	+
EC1_23286	chr10:14851219-14851323	+
EC1_23287	chr10:14851278-14851323	+
EC1_23288	chr10:14854125-14854280	+
EC1_23289	chr10:14869318-14869439	+
EC1_23290	chr10:14881500-14881645	+
EC1_23291	chr10:14911190-14911330	-
EC1_23292	chr10:14920380-14920444	-
EC1_23293	chr10:14926843-14926897	-
EC1_23294	chr10:14936538-14936593	-
EC1_23295	chr10:14942114-14942435	-
EC1_23296	chr10:14945435-14945565	-
EC1_23297	chr10:14947525-14947609	-
EC1_23298	chr10:14970248-14970546	+
EC1_23299	chr10:15056824-15056982	+
EC1_23300	chr10:15109040-15109215	-
EC1_23301	chr10:15119343-15119513	-
EC1_23302	chr10:15130142-15130312	-
EC1_23303	chr10:15140987-15141029	-
EC1_23304	chr10:15159833-15160036	-
EC1_23305	chr10:15215996-15216110	-
EC1_23306	chr10:15248639-15248815	-
EC1_23307	chr10:15254721-15254879	-
EC1_23308	chr10:15780838-15780966	-
EC1_23309	chr10:15786561-15786648	-
EC1_23310	chr10:15804837-15805025	-
EC1_23311	chr10:15821656-15821726	-
EC1_23312	chr10:15837542-15838279	-
EC1_23313	chr10:15838228-15838279	-
EC1_23314	chr10:15847864-15847943	-
EC1_23315	chr10:16505020-16505160	+
EC1_23316	chr10:16695023-16695155	-
EC1_23317	chr10:16782034-16782084	-
EC1_23318	chr10:16816973-16817084	-
EC1_23319	chr10:17025690-17025851	-
EC1_23320	chr10:17160305-17160374	-
EC1_23321	chr10:17161483-17161548	-
EC1_23322	chr10:17162166-17162237	-
EC1_23323	chr10:17169310-17172024	-
EC1_23324	chr10:17169310-17172949	-
EC1_23325	chr10:17169310-17169539	-
EC1_23326	chr10:17169310-17169376	-
EC1_23327	chr10:17228838-17229027	+
EC1_23328	chr10:17235846-17235889	+
EC1_23329	chr10:17236294-17236379	+
EC1_23330	chr10:17323065-17323157	-
EC1_23331	chr10:17327014-17327126	-
EC1_23332	chr10:17367418-17367531	-
EC1_23333	chr10:17379357-17379425	-
EC1_23334	chr10:17599172-17599411	-
EC1_23335	chr10:17599290-17599411	-
EC1_23336	chr10:17603560-17603648	-
EC1_23337	chr10:17603930-17615964	-
EC1_23338	chr10:17603930-17604047	-
EC1_23339	chr10:17660464-17660548	+
EC1_23340	chr10:17672975-17673078	+
EC1_23341	chr10:17680900-17681011	+
EC1_23342	chr10:17684675-17684750	+
EC1_23343	chr10:17684832-17684927	+
EC1_23344	chr10:17684839-17684927	+
EC1_23345	chr10:17690092-17690234	+
EC1_23346	chr10:17700191-17700279	+
EC1_23347	chr10:17704970-17705024	+
EC1_23348	chr10:18527251-18527369	-
EC1_23349	chr10:18539194-18539299	-
EC1_23350	chr10:18539194-18541248	-
EC1_23351	chr10:18539194-18539642	-
EC1_23352	chr10:18581681-18581798	-
EC1_23353	chr10:18586295-18588672	-
EC1_23354	chr10:18609845-18609926	-
EC1_23355	chr10:18612121-18612251	-
EC1_23356	chr10:18643569-18643640	-
EC1_23357	chr10:18666575-18666635	+
